error list,fixes
"Tag: (0008,103e) LO 1 Series Description : has bad value multiplicity : 2 vs 1 : per GeneralSeries ","Tag: (0008,103e) LO 1 Series Description : has bad value multiplicity : 2 vs 1 : per GeneralSeries %%% FIX IS - there is a ""/"" character in the study description. Remove ""/"" %%%"
"Tag: (0008,103e) LO 1 Series Description : Invalid Value for VR","Tag: (0008,103e) LO 1 Series Description : Invalid Value for VR %%% FIX IS - if the length is invalid, shorten the Study Description using set_tag or if there is an invalid character, remove character. If the character is a special character, ex. µ, replace with appropriate text  %%%"
"Tag: (0008,1070) PN 1-n Operators' Name: Missing Tag: Type 2 Required Element: RTSeries ","Tag: (0008,1070) PN 1-n Operators' Name: Missing Tag: Type 2 Required Element: RTSeries %%% FIX IS - set_tag <(0008,1070)> <> <> %%%"
"Tag: (0008,1070) PN 1-n Operators' Name : Missing Tag : Type 2 Required Element : RTSeries","Tag: (0008,1070) PN 1-n Operators' Name: Missing Tag: Type 2 Required Element: RTSeries %%% FIX IS - set_tag <(0008,1070)> <> <> %%%"
"Tag: (0008,1110) Referenced Study Sequence is empty.","Tag: (0008,1110) Referenced Study Sequence is empty. %%% FIX IS - delete_tag <(0008,1110)> <> <> %%%"
"Tag: (0008,1150) UI 1 Referenced SOP Class UID : Empty attribute (no value) ","Tag: (0008,1150) UI 1 Referenced SOP Class UID : Empty attribute (no value)  %%% FIX IS - DICOM dump, search for ""sequence"", locate sequence with Reference SOP Class UID that is Null or empty.  If possible ask submitting site to provide information. If not and it's a Referenced Study Sequence, ignore it. If not Referenced Study sequence and all tags in sequence are NULL or if sequence is empty, delete the sequence (if type 3 or optional). Otherwise ask Bill or Quasar. %%%"
"Tag: (0008,1150) UI 1 Referenced SOP Class UID : Missing Tag ","Tag: (0008,1150) UI 1 Referenced SOP Class UID : Missing Tag %%% FIX IS - A.  Find out what the name of the sequence is where this tag is missing 
B.  If it is a referenced study sequence, ignore it 
C.  If other sequence and all tags in the sequence are NULL or if the sequence is empty, delete the sequence 
D.  If there is a Source Image Sequence (0008,2112), and for every elements (0008,1155) Referenced SOP Instance UID  there is not a corresponding element (0008,1150), then this probably where the tag is  missing from. so delete_tag <(0008,2112)> <> <> 
E.  Otherwise, Ask Bill or Quasar to help determine best action  %%%"
"Tag: (0008,1155) UI 1 Referenced SOP Instance UID : Missing Tag ","Tag: (0008,1155) UI 1 Referenced SOP Instance UID : Missing Tag  %%%  FIX IS - to look at DICOM dump and search for ""sequence"". If sequence is empty and type 3 or empty and sequence is optional, delete sequence. Otherwise, ignore error %%%"
"Tag: (0008,1160) IS 1-n Referenced Frame Number : May not be present for Referenced SOP Class that is not multi-frame",
"Tag: (0008,2124) IS 1 Number of Stages : Missing Tag : Type 2C Conditional Element : USImage","Tag: (0008,2124) IS 1 Number of Stages : Missing Tag : Type 2C Conditional Element : USImage %%% FIX IS - set_tag <(0008,2124)> <> %%%"
"Tag: (0008,2218) SQ 1 Anatomic Region Sequence : AnatomicRegionSequence is only permitted to be empty when actually unknown, but BodyPartExamined has a value, therefore it is known","Tag: (0008,2218) SQ 1 Anatomic Region Sequence : AnatomicRegionSequence is only permitted to be empty when actually unknown, but BodyPartExamined has a value, therefore it is known %%% FIX IS - delete anatomic Region Sequence (0008,2218) if the tag is empty %%%]"
"Tag: (0008,2218) SQ 1 Anatomic Region Sequence : Missing Tag : Type 2 Required Element : GeneralAnatomyRequiredMacro",
"Tag: (0008,2218) SQ 1 Anatomic Region Sequence : Missing Tag : Type 2C Conditional Element : GeneralImage",
"Tag: (0008,2218) SQ 1 Anatomic Region Sequence : Empty attribute (no value) Type 1 Required Element per module GeneralAnatomyMandatoryMacro","Tag: (0008,2218) SQ 1 Anatomic Region Sequence : Empty attribute (no value) Type 1 Required Element per module GeneralAnatomyMandatoryMacro %%% FIX IS - in an Enhanced CT series, If there are no values within (0008,2218),  just Ignore error %%%"
"Tag: (0008,3010) UI 1-n Irradiation Event UID : Invalid Value for VR","Tag: (0008,3010) UI 1-n Irradiation Event UID : Invalid Value for VR %%% FIX IS - see DCIODVFY Errors and Fixes document %%%"
"Tag: (0010,0040) CS 1 Patient's Sex: MissingTag: Type 2 Required Element: Patient ","Tag: (0010,0040) CS 1 Patient's Sex: MissingTag: Type 2 Required Element: Patient %%% FIX IS - set_tag <(0010, 0040)> <> %%%"
"Tag: (0010,1010) AS 1 Patient's Age: Invalid Value for VR: ","Tag: (0010,1010) AS 1 Patient's Age: Invalid Value for VR: %%% FIX IS - patient age is not formatted correctly. Correct the value. It should have a format of 3 numbers (###) followed by one of the following: D (Days), W(Weeks), M(Months), or Y(Years). For example, patient who is 18 months old would have 018M in this tag. %%%"
"Tag: (0010,1020) DS 1 Patient's Size: Invalid Value for VR ","Tag: (0010,1020) DS 1 Patient's Size: Invalid Value for VR %%% FIX IS - there is an invalid character or format for this VR. You can enter correct value if known. Otherwise empty_tag <(0010,01020)> <> %%%"
"Tag: (0010,1030) DS 1 Patient's Weight: Invalid Value for VR","Tag: (0010,1030) DS 1 Patient's Weight: Invalid Value for VR %%% FIX IS - there is an invalid characted or format for this VR. You can enter correct value if known. Otherwise empty_tag <(0010,1030)> <> %%%"
"Tag: (0010,21a0) CS 1 Smoking Status : Invalid Value for VR ","Tag: (0010,21a0) CS 1 Smoking Status : Invalid Value for VR %%% FIX IS - there is an invalid characted or format for this VR. You can enter correct value if known. Otherwise empty_tag <(0010,21a0)> <> %%%"
"Tag: (0018,0015) CS 1 Body Part Examined : Invalid Value for VR ","Tag: (0018,0015) CS 1 Body Part Examined : Invalid Value for VR %%% FIX IS - there is an invalid characted or format for this VR. Body Part Examined should be in all caps. Annex L “Correspondence of Anatomic Region Codes and Body Part Examined Defined Terms” in PS3.16  %%%"
"Tag: (0018,0020) CS 1-n Scanning Sequence : has an unrecognized enumerated value ","Tag: (0018,0020) CS 1-n Scanning Sequence : has an unrecognized enumerated value  %%% FIX IS - to correct format in tag. Notice if there is a ""/""  - this is wrong and should be  ""\"". There may also be invalid characters. Correct tag as necessary. %%%"
"Tag: (0018,0020) CS 1-n Scanning Sequence : Invalid Value for VR ","Tag: (0018,0020) CS 1-n Scanning Sequence : Invalid Value for VR %%% FIX IS - to correct format in tag. Notice if there is a ""/""  - this is wrong and should be  ""\"". There may also be invalid characters. Correct tag as necessary. %%%"
"Tag: (0018,0021) CS 1-n Sequence Variant : Empty attribute (no value) Type 1 Required Element per module ",
"Tag: (0018,0022) CS 1-n Scan Options : Missing Tag : Type 2 Required Element : MRImage ",
"Tag: (0018,0023) CS 1 MR Acquisition Type : Missing Tag : Type 2 Required Element : MRImage","Tag: (0018,0023) CS 1 MR Acquisition Type : Missing Tag : Type 2 Required Element : MRImage %%% FIX IS - set_tag <(0018,0023)> <> %%%"
"Tag: (0018,0050) DS 1 Slice Thickness : Missing Tag ","Tag: (0018,0050) DS 1 Slice Thickness : Missing Tag %%% FIX IS - set_tag <(0018,0050)> <> %%%"
"Tag: (0018,0050) DS 1 Slice Thickness : Value is zero for index 1",
"Tag: (0018,0060) DS 1 KVP : Missing Tag ","Tag: (0018,0060) DS 1 KVP : Missing Tag %%% FIX IS - set_tag <(0018,0060)> <> <> %%%"
"Tag: (0018,0080) DS 1 Repetition Time : Missing Tag : Type 2C Conditional Element : MRImage","Tag: (0018,0080) DS 1 Repetition Time : Missing Tag : Type 2C Conditional Element : MRImage %%% FIX IS - check with site, if site cannot fix, ignore. %%%"
"Tag: (0018,0080) DS 1 Repetition Time: is conditional and is present when condition not satisfied: per MRImage module ","Tag: (0018,0080) DS 1 Repetition Time: is conditional and is present when condition not satisfied: per MRImage module %%% FIX IS - For MR leave but verify with Kirk and/or Bill %%%"
"Tag: (0018,0082) DS 1 Inversion Time : is conditional and is present when condition not satisfied : per MRImage module",
"Tag: (0018,0082) DS 1 Inversion Time : Missing Tag : Type 2C Conditional Element : MRImage","Tag: (0018,0082) DS 1 Inversion Time : Missing Tag : Type 2C Conditional Element : MRImage  %%% FIX IS - set_tag <(0018,0082)> <> %%%"
"Tag: (0018,0088) DS 1 Spacing Between Slices : has illegal negative value:","Tag: (0018,0088) DS 1 Spacing Between Slices : has illegal negative value: %%% FIX IS - to remove negative sign and retain value. Check series for significant digits. %%%"
"Tag: (0018,1000) LO 1 Device Serial Number : Empty attribute (no value) Type 1 Required Element per module EnhancedGeneralEquipment",
"Tag: (0018,1000) LO 1 Device Serial Number : Missing Tag : Type 1 Required Element : EnhancedGeneralEquipment",
"Tag: (0018,1060) DS 1 Trigger Time : is conditional and is present when condition not satisfied : per MRImage module",
"Tag: (0018,1060) DS 1 Trigger Time : is conditional and is present when condition not satisfied : per PETImage module",
"Tag: (0018,1060) DS 1 Trigger Time : Missing Tag : Type 2C Conditional Element : MRImage",
"Tag: (0018,1063) DS 1 Frame Time : is conditional and is present when condition not satisfied : per MRImage module",
"Tag: (0018,1063) DS 1 Frame Time : is conditional and is present when condition not satisfied : per PETImage module",
"Tag: (0018,1063) DS 1 Frame Time : is conditional and is present when condition not satisfied : per Cine module","Tag: (0018,1063) DS 1 Frame Time : is conditional and is present when condition not satisfied : per Cine module %%% FIX IS - For multiframe ultrasound, ignore %%%"
"Tag: (0018,1065) DS 1-n Frame Time Vector : is conditional and is present when condition not satisfied : per Cine module","Tag: (0018,1065) DS 1-n Frame Time Vector : is conditional and is present when condition not satisfied : per Cine module %%% FIX IS - For multiframe ultrasound, ignore %%%"
"Tag: (0018,106a) CS 1 Synchronization Trigger : Missing Tag : Type 1 Required Element : Synchronization",
"Tag: (0018,1081) IS 1 Low R-R Value","Tag: (0018,1081) IS 1 Low R-R Value %%% FIX IS - Ask site if possible, otherwise ignore %%%"
"Tag: (0018,1082) IS 1 High R-R Value","Tag: (0018,1082) IS 1 High R-R Value %%% FIX IS - Ask site if possible, otherwise ignore %%%"
"Tag: (0018,1110) DS 1 Distance Source to Detector : Empty attribute (no value) Type 1C Conditional Element per module CTGeometryMacro",
"Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : Value is zero for index 1 ","Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : Value is zero for index 1 %%% FIX IS - Ask site if possible, otherwise ignore %%%"
"Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : Value is zero for index 2 ","Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : Value is zero for index 2 %%% FIX IS - Ask site if possible, otherwise ignore %%%"
" Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : has bad value multiplicity : 4 vs 1-2 : per NMDetector"," Tag: (0018,1149) IS 1-2 Field of View Dimension(s) : has bad value multiplicity : 4 vs 1-2 : per NMDetector %%% FIX IS - 
delete_tag (0018,1149) <> <>
Once the tag is deleted, and you have accepted the imports, set the tag with the original values like this (note: it may be nested in a sequence, so make sure you include the entire path to the tag):
set_tag (0018,1149)[0] <value0> <>
set_tag (0018,1149)[1]) <value1> <> %%%"
"Tag: (0018,1150) IS 1 Exposure Time : Invalid Value for VR :","Tag: (0018,1150) IS 1 Exposure Time : Invalid Value for VR  %%% FIX IS - This tag contains an invalid character for the VR IS. For example, a decimal point is invalid. Try set_tag to an appropriate value match VR conditions. NOTE: there will be additional text following the last set of percent signs, this text is what is ""left over"" from the error. See column C. %%%"
"Tag: (0018,1164) DS 2 Imager Pixel Spacing : Missing Tag : Type 1 Required Element : DXDetector",
"Tag: (0018,1166) CS 1-n Grid : Invalid Value for VR ","Tag: (0018,1166) CS 1-n Grid : Invalid Value for VR %%% FIX IS - there is an invalid character or format for this VR. You can enter correct value if known. See DCIODVFY Errors and Fixes %%%"
"Tag: (0018,1181) CS 1 Collimator Type : Missing Tag : Type 2 Required Element : PETSeries ","Tag: (0018,1181) CS 1 Collimator Type : Missing Tag : Type 2 Required Element : PETSeries %%% FIX IS - set_tag <(0018,1181)> <> %%%"
"Tag: (0018,1242) IS 1 Actual Frame Duration : Missing Tag : Type 2 Required Element : PETImage ","Tag: (0018,1242) IS 1 Actual Frame Duration : Missing Tag : Type 2 Required Element : PETImage %%% FIX IS - set_tag <(0018,1242)> <>  %%%"
"Tag: (0018,1312) CS 1 In-plane Phase Encoding Direction : has an unrecognized enumerated value (OTHER) in index 1","Tag: (0018,1312) CS 1 In-plane Phase Encoding Direction : has an unrecognized enumerated value %%% FIX IS - The only allowed values are COL or ROW. This has If type 3 for image modality, delete tag. Otherwise discuss with Bill or Quasar %%%"
"Tag: (0018,1312) CS 1 In-plane Phase Encoding Direction : has an unrecognized enumerated value (OTHER) in index 1","Tag: (0018,1312) CS 1 In-plane Phase Encoding Direction : has an unrecognized enumerated value %%% FIX IS - The only allowed values are COL or ROW. This has If type 3 for image modality, delete tag. Otherwise discuss with Bill or Quasar %%%"
"Tag: (0018,1800) CS 1 Acquisition Time Synchronized : Missing Tag : Type 1 Required Element : Synchronization",
"Tag: (0018,5100) CS 1 Patient Position : May not be present when PatientOrientationCodeSequence is present",
"Tag: (0018,5100) CS 1 Patient Position : Shall not be present when PatientOrientationCodeSequence is present",
"Tag: (0018,5100) CS 1 Patient Position : Missing Tag : Type 2C Conditional Element","Tag: (0018,5100) CS 1 Patient Position: Missing Tag: Type 2C Conditional Element: %%% FIX IS - For Phantom, can be missing; otherwise set_tag set_tag <(0018,5100)> <> %%%"
"Tag: (0018,6044) US 1 Pixel Component Organization : Missing Tag : Type 1C Conditional Element : USRegionCalibration ","Tag: (0018,6044) US 1 Pixel Component Organization : Missing Tag : Type 1C Conditional Element : USRegionCalibration %%% FIX IS - If image displays properly using Quince or other DICOM viewer, ignore, otherwise check with Bill. %%%"
"Tag: (0018,604e) US 1 Pixel Component Data Type : is conditional and is present when condition not satisfied : per USRegionCalibration module ","Tag: (0018,604e) US 1 Pixel Component Data Type : is conditional and is present when condition not satisfied : per USRegionCalibration module %%% FIX IS - If image displays properly using Quince or other DICOM viewer, ignore, otherwise check with Bill. %%%"
"Tag: (0018,7004) CS 1 Detector Type : Missing Tag : Type 2 Required Element : DigitalXRayDetectorMacro","Tag: (0018,7004) CS 1 Detector Type : Missing Tag : Type 2 Required Element : DigitalXRayDetectorMacro %%% FIX IS - set_tag <(0018,7004) <>"
"Tag: (0018,7032) DS 1 Field of View Rotation : has an unrecognized enumerated value (180.0) in index A. set_tag <(0018,7032)> <180> <> ","Tag: (0018,7032) DS 1 Field of View Rotation : has an unrecognized enumerated value (180.0) in index %%% FIX IS - set_tag <(0018,7032)> <180> %%%"
"Tag: (0018,7032) DS 1 Field of View Rotation : has an unrecognized enumerated value (360) in index 1","Tag: (0018,7032) DS 1 Field of View Rotation : has an unrecognized enumerated value (360) in index 1 %%% FIX IS - set_tag <(0018,7032)> <0> %%%"
"Tag: (0018,700a) SH 1 Detector ID : Missing Tag : Type 1 Required Element : BreastTomosynthesisContributingSources",
"Tag: (0018,9074) DT 1 Frame Acquisition DateTime : is conditional and is present when condition not satisfied : per FrameContentMacro module","Tag: (0018,9074) DT 1 Frame Acquisition DateTime : is conditional and is present when condition not satisfied : per FrameContentMacro module %%% FIX IS - Remove if PHI. If MG, ignore %%%"
"Tag: (0018,9074) DT 1 Frame Acquisition DateTime : Empty attribute (no value) Type 1C Conditional Element per module FrameContentMacro",
"Tag: (0018,9151) DT 1 Frame Reference DateTime : is conditional and is present when condition not satisfied : per FrameContentMacro module","Tag: (0018,9074) DT 1 Frame Acquisition DateTime : is conditional and is present when condition not satisfied : per FrameContentMacro module %%% FIX IS - Remove if PHI. If MG, ignore %%%"
"Tag: (0018,9151) DT 1 Frame Reference DateTime : Empty attribute (no value) Type 1C Conditional Element per module FrameContentMacro",
"Tag: (0018,9305) FD 1 Revolution Time : Non-numeric attribute while verifying not zero value for attribute ","Tag: (0018,9305) FD 1 Revolution Time : Non-numeric attribute while verifying not zero value for attribute %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9309) FD 1 Table Speed : Non-numeric attribute while verifying not zero value for attribute ","Tag: (0018,9309) FD 1 Table Speed : Non-numeric attribute while verifying not zero value for attribute %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9310) FD 1 Table Feed per Rotation : Non-numeric attribute while verifying not zero value for","Tag: (0018,9310) FD 1 Table Feed per Rotation : Non-numeric attribute while verifying not zero value for %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9313) FD 3 Data Collection Center (Patient) : has bad value multiplicity : 1 vs 3 : per","Tag: (0018,9313) FD 3 Data Collection Center (Patient) : has bad value multiplicity : 1 vs 3 : per CTImage  %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9318) FD 3 Reconstruction Target Center (Patient) : has bad value multiplicity per CTImage : 1 vs 3 : ","Tag: (0018,9318) FD 3 Reconstruction Target Center (Patient) : has bad value multiplicity per CTImage : 1 vs 3 : %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9324) FD 1 Estimated Dose Saving : is conditional and is present when condition not satisfied : per CTExposureMacro module","Tag: (0018,9324) FD 1 Estimated Dose Saving : is conditional and is present when condition not satisfied : per CTExposureMacro module %%% FIX IS - if Value 1 of this frame is ORIGINAL. & Exposure Modulation Type (0018,9323) is equal to NONE then delete_tag <(0018,9324)> <> %%%"
"Tag: (0018,9345) FD 1 CTDIvol : Non-numeric attribute while verifying not zero value for attribute ","Tag: (0018,9345) FD 1 CTDIvol : Non-numeric attribute while verifying not zero value for attribute %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0018,9352) FL 3 Calcium Scoring Mass Factor Device : Non-numeric attribute while verifying zero value for attribute ","Tag: (0018,9352) FL 3 Calcium Scoring Mass Factor Device : Non-numeric attribute while verifying zero value for attribute %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
Tag: MultienergyCTAcquisitionSequence : Missing Tag : Type 1 Required Element : MultienergyCTImage,"Tag: MultienergyCTAcquisitionSequence : Missing Tag : Type 1 Required Element : MultienergyCTImage  %%% FIX IS - The missing tag is (0018,9362) though not indicated in the error. Verify that that image is a multienergy acquisition (see tag (0018,9361) or ask site. If multienergy acquisition, ask site for information in sequence. If unable to obtain necessary information, ignore %%%"
"Tag: (0018,9477) SQ 1 Irradiation Event Identification Sequence : Missing Tag : Type 1 Required Element : IrradiationEventIdentificationMacro","Tag: (0018,9477) SQ 1 Irradiation Event Identification Sequence : Missing Tag : Type 1 Required Element : IrradiationEventIdentificationMacro %%% FIX IS - Review with Bill or Quasar %%%"
"Tag: (0020,000d) UI 1 Study Instance UID : Missing Tag : Type 1 Required Element : GeneralSeries","Tag: (0020,000d) UI 1 Study Instance UID : Missing Tag : Type 1 Required Element : GeneralSeries %%% FIX IS -  DICOM dump and make sure there is an actual Study Instance UID. If there is then ignore error, this error is from a missing tag in a sequence %%%%"
"Tag: (0020,000e) UI 1 Series Instance UID : Missing Tag : Type 1 Required Element : GeneralSeries","Tag: (0020,000e) UI 1 Series Instance UID : Missing Tag : Type 1 Required Element : GeneralSeries %%% FIX IS - DICOM dump and make sure there is an actual Series Instance UID. If there is then ignore error, this error is from a missing tag in a sequence %%%%"
"Tag: (0020,0012) IS 1 Acquisition Number : Missing Tag : Type 2 Required Element : CTImage","Tag: (0020,0012) IS 1 Acquisition Number : Missing Tag : Type 2 Required Element : CTImage %%% FIX IS - set_tag <(0020,0012)> <> %%%"
"Tag: (0020,0020) CS 2 Patient Orientation : Missing Tag : Type 2C Conditional Element : GeneralImage",
"Tag: (0020,0020) CS 2 Patient Orientation : Empty attribute (no value) Type 1C Conditional Element per module DXImage","Tag: (0020,0020) CS 2 Patient Orientation : Empty attribute (no value) Type 1C Conditional Element per module DXImage %%% FIX IS - A. Try and determine the correct orientation and set the tag if you can (ask submitter or others for help if needed).  Some acceptable values are: A (anterior), P (posterior), R (right), L (left), H (head), F (foot)
For example: set_tag <(0020,0020)> <L\F> <> if the anatomical direction is Right to Left and Head to Foot %%%"
"Tag: (0020,0052) UI 1 Frame of Reference UID : Missing Tag : Type 1 Required Element : FrameOfReference","Tag: (0020,0052) UI 1 Frame of Reference UID : Missing Tag : Type 1 Required Element : FrameOfReference %%% FIX IS - You can ignore if the value is contained in a sequence within the metadata and the linkages are correct %%%"
SeriesInstanceUID has same value as FrameOfReferenceUID,"SeriesInstanceUID has same value as FrameOfReferenceUID 
%%% FIX IS - hash_unhashed_uid  <(0020,0052)>  <duplicate series instance UID>  <!Root UID>
           where <duplicate series instance UID>  is the series in the DCIODVFY report, <!Root UID> is usually the TCIA Root <!1.3.6.1.4.1.14519.5.2.1>
            +++ The exclamation point (!) in front of the root UID forces a hash when the UID is already hashed +++ 
Note:
It is allowed that the series UID value in the Frame of Reference UID tag, (0020,0052), can be in more than one series. If this is the case, the tag in the other series must also be similarly hashed.
To find the other series, search the PHI scan for the duplicate series instance UID in tag (0020,0052). If the num_series in the PHI scan is greater than 1, then create a ProposeEditTp to find the other series that contain the duplicate series instance UID. %%%"
SOPInstanceUID has same value as FrameOfReferenceUID,"SOPInstanceUID has same value as FrameOfReferenceUID 
%%% FIX IS - hash_unhashed_uid  <(0020,0052)>  <duplicate series instance UID>  <!Root UID>
           where <duplicate series instance UID>  is the series in the DCIODVFY report, <!Root UID> is usually the TCIA Root <!1.3.6.1.4.1.14519.5.2.1>
            +++ The exclamation point (!) in front of the root UID forces a hash when the UID is already hashed +++ 
Note:
It is allowed that the series UID value in the Frame of Reference UID tag, (0020,0052), can be in more than one series. If this is the case, the tag in the other series must also be similarly hashed.
To find the other series, search the PHI scan for the duplicate series instance UID in tag (0020,0052). If the num_series in the PHI scan is greater than 1, then create a ProposeEditTp to find the other series that contain the duplicate series instance UID. %%%"
"Tag: (0020,0060) CS 1 Laterality : is conditional and is present when condition not satisfied : per GeneralSeries module",
"Tag: (0020,0060) CS 1 Laterality : Missing Tag : Type 2C Conditional Element : GeneralSeries",
"Tag: (0020,0062) CS 1 Image Laterality : Empty attribute (no value) Type 1 Required Element per module DXAnatomyImaged",
"Tag: (0020,1040) LO 1 Position Reference Indicator : Missing Tag : Type 2 Required Element : FrameOfReference ","Tag: (0020,1040) LO 1 Position Reference Indicator : Missing Tag : Type 2 Required Element : FrameOfReference %%% FIX IS - set_tag <(0020,1040)> <> %%%"
"Tag: (0020,1040) LO 1 Position Reference Indicator : Missing Tag : Type 2 Required Element : FrameOfReference","Tag: (0020,1040) LO 1 Position Reference Indicator : Missing Tag : Type 2 Required Element : FrameOfReference %%% FIX IS - set_tag <(0020,1040)> <> %%%"
"Tag: (0020,1041) DS 1 Slice Location : Invalid Value for VR : * : Character invalid for this VR : '*' (0x2a)","Tag: (0020,1041) DS 1 Slice Location : Invalid Value for VR : * : Character invalid for this VR : '*' (0x2a) %%% FIX IS - delete_tag <(0020,1041)> <> <> %%%"
"Tag: (0020,9111) SQ 1 Frame Content Sequence : Missing Tag : Type 1 Required Element : FrameContentMacro","Tag: (0020,9111) SQ 1 Frame Content Sequence : Missing Tag : Type 1 Required Element : FrameContentMacro %%% FIX IS - contact site for correct value. If cannot contact site, ignore %%%"
"Tag: (0028,0004) CS 1 Photometric Interpretation : has an unrecognized enumerated value","Tag: (0028,004) CS 1 Photometric Interpretation : has an unrecognized enumerated value 
%%% FIX IS - A. If tag (0028,0002) (Sample Per Pixels) has a VM = 3, then this is a false error for tag (0028,0004) and you can ignore the message
May 9, 2022 Version 7.2. 
If MONOCHROME2, this is a valid value and error can be ignored.
B. If tag (0028,0002) has a VM of something other than 3, then ask DICOM expert %%%"
"Tag: (0028,0004) CS 1 Photometric Interpretation : has an unrecognized enumerated value (PALETTE COLOR) in index ","Tag: (0028,0004) CS 1 Photometric Interpretation : has an unrecognized enumerated value (PALETTE COLOR) in index %%% FIX IS - If tag (0028,0002) has a value of 1, PALETTE COLOR is a valid value. Ignore this error. Otherwise discuss with DICOM expert %%%"
"Tag: (0028,0006) US 1 Planar Configuration : has an unrecognized enumerated value (0) in index 1",
"Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per ImagePixelMacro module","Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per ImagePixelMacro module %%% FIX IS - delete_tag <(0028,0006)> <> %%%"
"Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per USImage module","Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per USImage module %%% FIX IS - delete_tag <(0028,0006)> <> %%%"
"Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module","Tag: (0028,0006) US 1 Planar Configuration : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module %%% FIX IS - delete_tag <(0028,0006)> <> %%%"
"Tag: (0028,0006) US 1 Planar Configuration : Missing Tag : Type 1C Conditional Element : ImagePixelMacro",
"Tag: (0028,0008) IS 1 Number of Frames : has an unrecognized enumerated value (0x51) in index 1","Tag: (0028,0008) IS 1 Number of Frames : has an unrecognized enumerated value (0x51) in index 1  %%% FIX IS - If the values are in decimal (base 10) format in Quince, ignore error %%%"
"Tag: (0028,0008) IS 1 Number of Frames : Missing Tag : Type 1 Required Element : MultiFrame","Tag: (0028,0008) IS 1 Number of Frames : Missing Tag : Type 1 Required Element : MultiFrame %%% FIX IS - Multiply the values in tags (0028,0010) and (0028,0011) (Rows and columns respectively) by the value in tag (0028,0100) (Bits Allocated) and divide by 8. If it equals the count in tag (7fe0,0010) then it may be okay (assuming there is no burned in PHI) but if the values do not match, then Discuss with a DICOM expert because there may be hidden frames containing images %%%"
"Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1C Conditional Element : MultiFrame",
"Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1C Conditional Element : USImage",
"Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1 Required Element : NMMultiFrame","Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1 Required Element : NMMultiFrame %%% FIX IS - 
NOTES: Need to check if the imaging data is Big Endian or Little Endian in Tag (0002,0010); Need to convert the Hex Tags to Decimal values using a Hex to Decimal Converter like the one found here: https://www.rapidtables.com/convert/number/hex-to-decimal.html;
The value you enter for the Hex value is dependent on whether your data is Big Endian or Little Endian.  If it is Big Endian you enter the 4 digit group first then the 4 digit element like 00540020, but if it is Little Endian, you enter the 4 digit element first then the 4 digit group like 00200054. The Decimal value returned is what is entered into the val1 of the set_tag command.
A. If tag (0054,0010) exists in the image header, set_tag (0028,0009)[0] <1048660> <> (where 1048660 is the decimal equivalent of 00100054 if the value in tag (0002,0010) is Little Endian or 5505040 if it is Big Endian) If the tag does not exist in the series, do not make this edit.
B. If tag (0054,0020) exists in the image header, set_tag (0028,0009)[1] <2097236> <> (where 2097236 is the decimal equivalent of 00200054 if the value in tag (0002,0010) is Little Endian or 5505056 if it is Big Endian) If the tag does not exist in the series, do not make this edit.
C. If tag (0054,0050) exists in the image header, set_tag (0028,0009)[2] <5242964> <> (where 5242964 is the decimal equivalent of 00500054 if the value in tag (0002,0010) is Little Endian or 5505104 if it is Big Endian). If the tag does not exist in the series, do not make this edit.
D. If tag (0054,0090) exists in the image header, set_tag (0028,0009)[3] <9437268> <> (where 9437268 is the decimal equivalent of 00900054 if the value in tag (0002,0010) is Little Endian or 5505168 if it is Big Endian). If the tag does not exist in the series, do not make this edit.
%%%"
"Tag: (0028,0030) DS 2 Pixel Spacing : Empty attribute (no value) Type 1C Conditional Element","Frame Increment Pointer value is not present in dataset for value 0, which is (0x0018,0x1063) Frame Time %%% FIX IS - Ask site for guidance otherwise ignore %%%"
